time,gender,age,uni,monthly_food_expenses,stable_income,sustainability_importance,phone_screen_breaks,likelihood_of_repair,max_price_of_repair,skill_electronics,skill_metal,skill_wood,skill_textile,skill_assembly,skill_filigrane,most_difficult_repair,bi_phone,bi_tablet,bi_computer,bi_household_electronics,bi_other_electronics,bi_bike,bi_furniture,bi_clothes,bi_shoes,bi_other_items,repair_considered,rno_difficult,rno_time,rno_expensive,rno_motivation,rno_other,eth_rc_usage_likelihood,eth_rc,eth_rc_help,eth_rc_learn
2025-05-15T18:11:36Z,male,23,ETH Zürich,500,TRUE,6,Repair it myself,4,80,2,1,2,1,3,2,change a phones touchscreen,0,0,0,2,1,0,0,2,2,0,Yes,NA,NA,NA,NA,NA,4,Yes,Maybe,Yes
2025-05-15T20:08:38Z,male,24,ETH Zürich,750,TRUE,5,Pay someone to repair,5,60,4,5,5,3,5,5,Analog camera,0,0,0,1,1,0,0,0,0,2,Yes,NA,NA,NA,NA,NA,5,Yes,Yes,Yes
2025-05-16T10:40:48Z,male,24,I am not a student,500,TRUE,6,Pay someone to repair,3,30,1,2,4,3,2,2,wooden table,0,0,0,1,0,0,0,2,0,1,"Not for all items, but for some",TRUE,TRUE,TRUE,TRUE,TRUE,3,Yes,No,Yes
2025-05-16T15:11:57Z,female,22,ETH Zürich,300,TRUE,6,Ask a friend/family member to repair,3,50,1,2,1,4,4,3,bike,0,0,0,0,0,0,0,0,1,0,No,FALSE,TRUE,FALSE,TRUE,FALSE,4,Yes,Yes,Yes
2025-05-18T18:48:26Z,male,21,ETH Zürich,300,FALSE,3,Ask a friend/family member to repair,4,50,1,1,2,4,2,1,My bike Pedal axis Switched out,0,0,0,0,0,0,0,1,0,0,Yes,NA,NA,NA,NA,NA,3,Maybe,Maybe,Yes
2025-05-19T09:45:52Z,female,24,ETH Zürich,300,TRUE,5,ignore it and use my phone with the cracked display lol,3,20,3,2,2,3,2,3,reapire the water supply for my shower (needed to 3d print something to make it work),0,0,0,0,0,0,1,3,1,0,"Not for all items, but for some",TRUE,FALSE,TRUE,FALSE,FALSE,4,Yes,Maybe,Yes
2025-05-19T16:36:49Z,female,22,ETH Zürich,300,FALSE,4,Pay someone to repair,4,20,1,1,1,1,1,1,Clothing,0,0,0,0,0,0,0,0,0,0,Yes,NA,NA,NA,NA,NA,5,Yes,Yes,Yes
2025-05-19T20:09:51Z,NA,24,ETH Zürich,300,FALSE,5,Repair it myself,4,60,3,3,4,2,3,3,exchange a wooden cross-beam in the support structure of a house,0,0,0,0,0,0,0,2,0,6,"Not for all items, but for some",TRUE,TRUE,TRUE,TRUE,TRUE,5,Yes,Maybe,Yes
2025-05-20T11:50:44Z,female,24,ETH Zürich,300,FALSE,6,Repair it myself,4,40,2,1,3,4,4,4,Coffee machine,0,0,0,0,1,0,0,2,1,0,Yes,NA,NA,NA,NA,NA,4,Maybe,Yes,Yes
2025-05-20T14:36:41Z,male,23,ETH Zürich,750,FALSE,6,Pay someone to repair,5,50,4,4,4,2,5,4,I fixed my friends knee problem,0,0,0,0,0,0,0,0,1,0,No,TRUE,TRUE,TRUE,TRUE,NA,4,Yes,Maybe,Yes
2025-05-20T19:55:31Z,male,24,ETH Zürich,500,TRUE,3,Replace the phone,3,50,2,2,2,3,2,2,chainring on bike,0,0,0,0,1,0,0,1,0,0,No,TRUE,FALSE,TRUE,TRUE,FALSE,3,Yes,No,Yes
2025-05-21T13:38:50Z,male,24,I am not a student,750,TRUE,4,Repair it myself,5,30,4,3,5,4,5,4,Coffee Machine,0,0,0,1,0,0,0,0,0,0,Yes,NA,NA,NA,NA,NA,4,Yes,Maybe,Yes
2025-05-21T15:38:38Z,female,25,ETH Zürich,300,FALSE,4,Repair it myself,3,30,4,2,3,5,5,5,Replace cracked phone screen,0,0,1,1,1,0,0,6,2,6,"Not for all items, but for some",TRUE,TRUE,TRUE,TRUE,NA,4,Yes,Yes,Yes
2025-05-21T22:16:16Z,male,23,ETH Zürich,300,TRUE,6,live with a broken screen,3,40,3,4,5,5,5,3,bike,0,0,0,0,1,0,0,0,1,1,"Not for all items, but for some",NA,TRUE,NA,TRUE,NA,4,Yes,Maybe,Yes
2025-05-22T17:34:30Z,male,25,ETH Zürich,300,TRUE,6,Repair it myself,5,50,3,4,4,2,4,3,replaced screen and battery of my phone,0,0,0,0,2,0,1,3,1,2,"Not for all items, but for some",TRUE,TRUE,TRUE,FALSE,FALSE,5,Yes,Maybe,Yes
2025-05-23T09:17:47Z,non-binary,24,ETH Zürich,300,FALSE,5,Ask a friend/family member to repair,4,50,4,2,2,2,4,2,Laptop,0,0,0,1,1,0,0,2,0,3,"Not for all items, but for some",TRUE,FALSE,TRUE,TRUE,NA,4,Yes,Maybe,Yes
2025-05-23T09:52:15Z,male,25,ETH Zürich,300,FALSE,3,Pay someone to repair,4,20,2,2,2,1,3,2,Don't know but probably a remote control or something similar with a broken contact or similar,0,0,0,1,1,0,0,0,1,1,"Not for all items, but for some",TRUE,FALSE,FALSE,TRUE,TRUE,4,Yes,Maybe,Yes
2025-05-23T10:08:19Z,male,24,Zhdk,500,TRUE,6,Repair it myself,5,20,5,3,3,4,4,5,"I've repaired an analog camera from the 60s. Had zero electronics, all just annoyingly small mechanical parts.",0,0,0,0,0,0,0,0,0,0,Yes,NA,NA,NA,NA,NA,5,Maybe,Yes,Yes
2025-05-26T18:33:21Z,male,24,ETH Zürich,500,FALSE,5,Replace the phone,4,30,3,3,3,2,2,2,Repairs on my bike,0,0,0,0,0,0,0,0,0,1,Yes,NA,NA,NA,NA,NA,5,Yes,Yes,Yes
2025-05-29T10:36:13Z,male,21,ETH Zürich,300,TRUE,5,Pay someone to repair,5,40,2,1,3,5,3,5,fixing parts of my violin,0,0,0,2,1,0,0,2,2,0,Yes,NA,NA,NA,NA,NA,2,Maybe,Maybe,Yes
2025-05-29T14:01:05Z,female,21,ZHAW,300,FALSE,7,Pay someone to repair,3,40,1,1,1,3,1,1,Headphone piece replacement,0,0,0,0,0,0,0,0,1,0,No,TRUE,FALSE,FALSE,TRUE,TRUE,2,Yes,No,Yes
